pi,theta,mode,cycles
100,15,scalar_schoolbook,89606
100,15,scalar_karatsuba,71771
100,15,vector_schoolbook,18693
100,15,vector_karatsuba,26694
104,17,scalar_schoolbook,60387
104,17,scalar_karatsuba,45798
104,17,vector_schoolbook,15555
104,17,vector_karatsuba,23486
105,13,scalar_schoolbook,62993
105,13,scalar_karatsuba,45645
105,13,vector_schoolbook,15376
105,13,vector_karatsuba,23373
107,1,scalar_schoolbook,62823
107,1,scalar_karatsuba,44576
107,1,vector_schoolbook,13611
107,1,vector_karatsuba,17286
114,11,scalar_schoolbook,94296
114,11,scalar_karatsuba,72714
114,11,vector_schoolbook,20174
114,11,vector_karatsuba,27974
116,3,scalar_schoolbook,73025
116,3,scalar_karatsuba,58636
116,3,vector_schoolbook,16183
116,3,vector_karatsuba,23721
118,5,scalar_schoolbook,72853
118,5,scalar_karatsuba,60184
118,5,vector_schoolbook,16223
118,5,vector_karatsuba,23497
122,3,scalar_schoolbook,69091
122,3,scalar_karatsuba,51285
122,3,vector_schoolbook,17068
122,3,vector_karatsuba,24159
125,9,scalar_schoolbook,68642
125,9,scalar_karatsuba,49494
125,9,vector_schoolbook,17176
125,9,vector_karatsuba,24274
127,1,scalar_schoolbook,89117
127,1,scalar_karatsuba,61557
127,1,vector_schoolbook,19104
127,1,vector_karatsuba,23438
130,5,scalar_schoolbook,99880
130,5,scalar_karatsuba,80914
130,5,vector_schoolbook,21571
130,5,vector_karatsuba,28638
137,13,scalar_schoolbook,111669
137,13,scalar_karatsuba,92764
137,13,vector_schoolbook,24986
137,13,vector_karatsuba,31147
141,9,scalar_schoolbook,76692
141,9,scalar_karatsuba,56230
141,9,vector_schoolbook,19193
141,9,vector_karatsuba,25507
150,3,scalar_schoolbook,90506
150,3,scalar_karatsuba,78015
150,3,vector_schoolbook,19789
150,3,vector_karatsuba,25755
152,17,scalar_schoolbook,121378
152,17,scalar_karatsuba,97742
152,17,vector_schoolbook,27246
152,17,vector_karatsuba,32583
157,19,scalar_schoolbook,86453
157,19,scalar_karatsuba,63811
157,19,vector_schoolbook,20490
157,19,vector_karatsuba,26339
158,15,scalar_schoolbook,84779
158,15,scalar_karatsuba,60246
158,15,vector_schoolbook,20454
158,15,vector_karatsuba,25919
166,5,scalar_schoolbook,136101
166,5,scalar_karatsuba,105320
166,5,vector_schoolbook,29921
166,5,vector_karatsuba,34436
171,19,scalar_schoolbook,94011
171,19,scalar_karatsuba,67873
171,19,vector_schoolbook,22154
171,19,vector_karatsuba,27725
174,3,scalar_schoolbook,92769
174,3,scalar_karatsuba,71450
174,3,vector_schoolbook,22285
174,3,vector_karatsuba,28238
190,11,scalar_schoolbook,102300
190,11,scalar_karatsuba,75883
190,11,vector_schoolbook,24848
190,11,vector_karatsuba,28587
191,19,scalar_schoolbook,102275
191,19,scalar_karatsuba,74492
191,19,vector_schoolbook,24779
191,19,vector_karatsuba,28565
196,15,scalar_schoolbook,157980
196,15,scalar_karatsuba,114922
196,15,vector_schoolbook,32888
196,15,vector_karatsuba,35479
198,17,scalar_schoolbook,158834
198,17,scalar_karatsuba,125864
198,17,vector_schoolbook,32381
198,17,vector_karatsuba,38115
206,5,scalar_schoolbook,117450
206,5,scalar_karatsuba,84949
206,5,vector_schoolbook,26229
206,5,vector_karatsuba,30692
213,3,scalar_schoolbook,106350
213,3,scalar_karatsuba,84600
213,3,vector_schoolbook,23200
213,3,vector_karatsuba,26479
221,3,scalar_schoolbook,124630
221,3,scalar_karatsuba,90296
221,3,vector_schoolbook,25404
221,3,vector_karatsuba,30032
226,5,scalar_schoolbook,177749
226,5,scalar_karatsuba,136838
226,5,vector_schoolbook,36889
226,5,vector_karatsuba,40566
233,3,scalar_schoolbook,107064
233,3,scalar_karatsuba,89687
233,3,vector_schoolbook,23877
233,3,vector_karatsuba,27992
235,15,scalar_schoolbook,129791
235,15,scalar_karatsuba,99736
235,15,vector_schoolbook,27875
235,15,vector_karatsuba,29860
243,9,scalar_schoolbook,166596
243,9,scalar_karatsuba,131892
243,9,vector_schoolbook,34338
243,9,vector_karatsuba,38591
251,9,scalar_schoolbook,122356
251,9,scalar_karatsuba,94222
251,9,vector_schoolbook,25175
251,9,vector_karatsuba,27696
255,19,scalar_schoolbook,142203
255,19,scalar_karatsuba,110306
255,19,vector_schoolbook,29691
255,19,vector_karatsuba,33457
266,3,scalar_schoolbook,118503
266,3,scalar_karatsuba,89687
266,3,vector_schoolbook,24423
266,3,vector_karatsuba,26982
285,9,scalar_schoolbook,127683
285,9,scalar_karatsuba,92487
285,9,vector_schoolbook,26199
285,9,vector_karatsuba,29353
291,19,scalar_schoolbook,209987
291,19,scalar_karatsuba,155288
291,19,vector_schoolbook,53686
291,19,vector_karatsuba,42904
321,9,scalar_schoolbook,227833
321,9,scalar_karatsuba,167601
321,9,vector_schoolbook,58029
321,9,vector_karatsuba,45286
322,11,scalar_schoolbook,228285
322,11,scalar_karatsuba,167696
322,11,vector_schoolbook,59190
322,11,vector_karatsuba,45714
336,3,scalar_schoolbook,119413
336,3,scalar_karatsuba,89945
336,3,vector_schoolbook,25359
336,3,vector_karatsuba,25731
338,15,scalar_schoolbook,239392
338,15,scalar_karatsuba,179177
338,15,vector_schoolbook,53772
338,15,vector_karatsuba,47456
379,19,scalar_schoolbook,332125
379,19,scalar_karatsuba,255418
379,19,vector_schoolbook,92160
379,19,vector_karatsuba,63263
