module,pi,theta,vectorize,karatsuba,cycles
mmh,100,15,0,0,89478
mmh,100,15,0,1,71190
mmh,100,15,1,0,19682
mmh,100,15,1,1,27599
mmh,104,17,0,0,60305
mmh,104,17,0,1,45586
mmh,104,17,1,0,16310
mmh,104,17,1,1,23978
mmh,105,13,0,0,62736
mmh,105,13,0,1,45522
mmh,105,13,1,0,16188
mmh,105,13,1,1,23579
mmh,107,1,0,0,60342
mmh,107,1,0,1,47622
mmh,107,1,1,0,14296
mmh,107,1,1,1,18041
mmh,114,11,0,0,94010
mmh,114,11,0,1,76521
mmh,114,11,1,0,20500
mmh,114,11,1,1,27895
mmh,116,3,0,0,72683
mmh,116,3,0,1,61519
mmh,116,3,1,0,16508
mmh,116,3,1,1,23574
mmh,118,5,0,0,72675
mmh,118,5,0,1,58588
mmh,118,5,1,0,16607
mmh,118,5,1,1,23497
mmh,122,3,0,0,68304
mmh,122,3,0,1,52252
mmh,122,3,1,0,17127
mmh,122,3,1,1,24075
mmh,125,9,0,0,68223
mmh,125,9,0,1,49384
mmh,125,9,1,0,17162
mmh,125,9,1,1,24074
mmh,127,1,0,0,89016
mmh,127,1,0,1,65131
mmh,127,1,1,0,18994
mmh,127,1,1,1,23399
mmh,130,5,0,0,99736
mmh,130,5,0,1,77597
mmh,130,5,1,0,21774
mmh,130,5,1,1,28548
mmh,137,13,0,0,111320
mmh,137,13,0,1,86509
mmh,137,13,1,0,24905
mmh,137,13,1,1,30941
mmh,141,9,0,0,76242
mmh,141,9,0,1,56069
mmh,141,9,1,0,19155
mmh,141,9,1,1,25434
mmh,150,3,0,0,89925
mmh,150,3,0,1,72702
mmh,150,3,1,0,19564
mmh,150,3,1,1,25781
mmh,152,17,0,0,118931
mmh,152,17,0,1,90071
mmh,152,17,1,0,27226
mmh,152,17,1,1,32437
mmh,157,19,0,0,86032
mmh,157,19,0,1,62612
mmh,157,19,1,0,20384
mmh,157,19,1,1,26259
mmh,158,15,0,0,84328
mmh,158,15,0,1,59806
mmh,158,15,1,0,20439
mmh,158,15,1,1,25895
mmh,166,5,0,0,135092
mmh,166,5,0,1,109081
mmh,166,5,1,0,29815
mmh,166,5,1,1,34138
mmh,171,19,0,0,93771
mmh,171,19,0,1,70223
mmh,171,19,1,0,21679
mmh,171,19,1,1,27655
mmh,174,3,0,0,92451
mmh,174,3,0,1,66457
mmh,174,3,1,0,22136
mmh,174,3,1,1,28208
mmh,190,11,0,0,102011
mmh,190,11,0,1,70902
mmh,190,11,1,0,24786
mmh,190,11,1,1,28482
mmh,191,19,0,0,101911
mmh,191,19,0,1,70928
mmh,191,19,1,0,24760
mmh,191,19,1,1,28598
mmh,196,15,0,0,153207
mmh,196,15,0,1,114704
mmh,196,15,1,0,32722
mmh,196,15,1,1,35303
mmh,198,17,0,0,147638
mmh,198,17,0,1,125029
mmh,198,17,1,0,32300
mmh,198,17,1,1,37924
mmh,206,5,0,0,109411
mmh,206,5,0,1,83660
mmh,206,5,1,0,26167
mmh,206,5,1,1,30647
mmh,213,3,0,0,107810
mmh,213,3,0,1,82805
mmh,213,3,1,0,23219
mmh,213,3,1,1,26482
mmh,221,3,0,0,120974
mmh,221,3,0,1,89951
mmh,221,3,1,0,25368
mmh,221,3,1,1,30326
mmh,226,5,0,0,170425
mmh,226,5,0,1,138400
mmh,226,5,1,0,36964
mmh,226,5,1,1,40785
mmh,233,3,0,0,112908
mmh,233,3,0,1,86934
mmh,233,3,1,0,23884
mmh,233,3,1,1,27987
mmh,235,15,0,0,133475
mmh,235,15,0,1,98667
mmh,235,15,1,0,27752
mmh,235,15,1,1,29993
mmh,243,9,0,0,162008
mmh,243,9,0,1,130990
mmh,243,9,1,0,34283
mmh,243,9,1,1,38615
mmh,251,9,0,0,121419
mmh,251,9,0,1,93179
mmh,251,9,1,0,25354
mmh,251,9,1,1,27882
mmh,255,19,0,0,141896
mmh,255,19,0,1,108514
mmh,255,19,1,0,29665
mmh,255,19,1,1,33075
mmh,266,3,0,0,113322
mmh,266,3,0,1,89512
mmh,266,3,1,0,24677
mmh,266,3,1,1,26758
mmh,285,9,0,0,122747
mmh,285,9,0,1,92371
mmh,285,9,1,0,26037
mmh,285,9,1,1,29315
mmh,291,19,0,0,211709
mmh,291,19,0,1,150795
mmh,291,19,1,0,53640
mmh,291,19,1,1,42462
mmh,321,9,0,0,230132
mmh,321,9,0,1,161726
mmh,321,9,1,0,57913
mmh,321,9,1,1,45206
mmh,322,11,0,0,220415
mmh,322,11,0,1,166742
mmh,322,11,1,0,58862
mmh,322,11,1,1,45293
mmh,336,3,0,0,119501
mmh,336,3,0,1,89165
mmh,336,3,1,0,25264
mmh,336,3,1,1,25668
mmh,338,15,0,0,235593
mmh,338,15,0,1,176874
mmh,338,15,1,0,54228
mmh,338,15,1,1,47310
mmh,379,19,0,0,317855
mmh,379,19,0,1,247000
mmh,379,19,1,0,92305
mmh,379,19,1,1,63304
