bytes,cycles
112,342
224,533
336,751
448,964
560,1112
672,1401
784,1521
896,1696
1008,2028
1120,2235
1232,2305
1344,2650
1456,2863
1568,3068
1680,3277
1792,3483
1904,3692
2016,3907
2128,4114
2240,4319
2352,4532
2464,4741
2576,4944
2688,5152
2800,5370
2912,5590
3024,5789
3136,5992
3248,6196
3360,6428
3472,6621
3584,6828
3696,7039
3808,7248
3920,7449
4032,7676
4144,7866
4256,8077
4368,8292
4480,8487
4592,8702
4704,8922
4816,9111
4928,9331
5040,9562
5152,9764
5264,9965
5376,10169
5488,10398
5600,10606
5712,10810
5824,11004
5936,11226
6048,11425
6160,11863
6272,11835
6384,12067
6496,12261
6608,12456
6720,12683
6832,12911
6944,13069
7056,13304
7168,13505
7280,13707
7392,13937
7504,14163
7616,14385
7728,14547
7840,14796
7952,14971
8064,15172
8176,15514
8288,15598
8400,15798
8512,16036
8624,16220
8736,16417
8848,16643
8960,16842
9072,17057
9184,17267
9296,17463
9408,17666
9520,17921
9632,18099
9744,18277
9856,18514
9968,18747
10080,18910
10192,19162
10304,19387
10416,19552
10528,19781
10640,20002
10752,20187
10864,20433
10976,20641
11088,20810
11200,20999
11312,21227
11424,21483
11536,21631
11648,21886
11760,22063
11872,22232
11984,22472
12096,22720
12208,22902
12320,23133
12432,23523
12544,23543
12656,23759
12768,23964
12880,24175
12992,24371
13104,24563
13216,24775
13328,25099
13440,25212
13552,25394
13664,25598
13776,25821
13888,26024
14000,26222
14112,26459
14224,26650
14336,26868
14448,27211
14560,27312
14672,27491
14784,27698
14896,27899
15008,28115
15120,28420
15232,28532
15344,28754
15456,28948
15568,29179
15680,29377
15792,29587
15904,29782
16016,29997
